common_name,scientific_name,Wet Paddy fields,Open Areas,"Groves,Gardens and Plantations",Habitation,Dry Grassland,Hill Grassland,Wet Grassland,High Altitude Grassland,Reeds,Dry Deciduous,Hill Shrubland,Thorny Scrub,Rocky Scrub,Tropical Rainforest,Bamboo Forest,Shola Forest,Moist Deciduous,Subtropical Montane Forest,Mixed Forest,Oak Forest,Coniferous Forest,Forest Swamp,Short Grass Marshes,High Shrubbery,High Alpine,Inland Water,Inland Mudflats,Coastal Mudflats,Beaches,Pelagic Waters,Hot Desert,Semi-Desert,Cold Desert,Mangrove Swamps,Salt Pans,Lagoons,Rivers,High Altitude Lakes,Brackish Backwaters
Indian Bustard,Ardeotis nigriceps,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Little Bustard,Tetrax tetrax,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengal Florican,Houbaropsis bengalensis,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesser Florican,Sypheotides indicus,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macqueen's Bustard,Chlamydotis macqueenii,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,
Red-throated Loon,Gavia stellata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctic Loon,Gavia arctica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilson's Storm-Petrel,Oceanites oceanicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
White-faced Storm-Petrel,Pelagodroma marina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Black-bellied Storm-Petrel,Fregetta tropica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Swinhoe's Storm-Petrel,Oceanodroma monorhis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,
Barau's Petrel,Pterodroma baraui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Wedge-tailed Shearwater,Ardenna pacifica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Short-tailed Shearwater,Ardenna tenuirostris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Flesh-footed Shearwater,Ardenna carneipes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Streaked Shearwater,Calonectris leucomelas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Cory's Shearwater,Calonectris diomedea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Tropical Shearwater,Puffinus bailloni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Persian Shearwater,Puffinus persicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Jouanin's Petrel,Bulweria fallax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Greater Adjutant,Leptoptilos dubius,1,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Lesser Adjutant,Leptoptilos javanicus,1,,,,,,1,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,
Painted Stork,Mycteria leucocephala,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,
Asian Openbill,Anastomus oscitans,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,1,,
Black Stork,Ciconia nigra,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,1,,
Woolly-necked Stork,Ciconia episcopus,1,1,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,1,,
White Stork,Ciconia ciconia,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,
Black-necked Stork,Ephippiorhynchus asiaticus,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,1,,,1,,
Great White Pelican,Pelecanus onocrotalus,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,
Spot-billed Pelican,Pelecanus philippensis,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,
Dalmatian Pelican,Pelecanus crispus,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,
Great Bittern,Botaurus stellaris,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Little Bittern,Ixobrychus minutus,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Yellow Bittern,Ixobrychus sinensis,1,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,
Cinnamon Bittern,Ixobrychus cinnamomeus,1,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,
Black Bittern,Ixobrychus flavicollis,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,
Malayan Night-Heron,Gorsachius melanolophus,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,
Black-crowned Night-Heron,Nycticorax nycticorax,1,,,1,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
White-eared Night-Heron,Gorsachius magnificus,,,,,,,1,,,,,,,1,,,1,1,,,,,,,,1,,,,,,,,,,,1,,
Striated Heron,Butorides striata,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,1,,
Indian Pond-Heron,Ardeola grayii,1,1,,1,,,1,,1,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,
Chinese Pond-Heron,Ardeola bacchus,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,
Javan Pond-Heron,Ardeola speciosa,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
Cattle Egret,Bubulcus ibis,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,
Gray Heron,Ardea cinerea,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,,,,,,,1,1,,
White-bellied Heron,Ardea insignis,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,
Goliath Heron,Ardea goliath,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,1,1,,
Purple Heron,Ardea purpurea,1,,,,,,,,1,,,,,,,,,,,,,,1,,,1,1,1,1,,,,,1,,,1,,
Great Egret,Ardea alba,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,,,,,1,,,1,,
Intermediate Egret,Ardea intermedia,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,,,,,1,,,1,,
Little Egret,Egretta garzetta,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,,,,,1,,,1,,
Western Reef-Heron,Egretta gularis,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,1,,,,,
Pacific Reef-Heron,Egretta sacra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Egret,Egretta eulophotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-headed Ibis,Threskiornis melanocephalus,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
Eurasian Spoonbill,Platalea leucorodia,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,1,1,,
Red-naped Ibis,Pseudibis papillosa,1,1,1,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
Glossy Ibis,Plegadis falcinellus,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,1,,,
Lesser Frigatebird,Fregata ariel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Frigatebird,Fregata minor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Island Frigatebird,Fregata andrewsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-footed Booby,Sula sula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Brown Booby,Sula leucogaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Masked Booby,Sula dactylatra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Little Cormorant,Microcarbo niger,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,
Great Cormorant,Phalacrocorax carbo,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,1,,1
Indian Cormorant,Phalacrocorax fuscicollis,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,1,,1
Oriental Darter,Anhinga melanogaster,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Indian Thick-knee,Burhinus indicus,,1,1,,1,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Thick-knee,Esacus recurvirostris,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,
Beach Thick-knee,Esacus magnirostris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,
Eurasian Oystercatcher,Haematopus ostralegus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Ibisbill,Ibidorhyncha struthersii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Pied Avocet,Recurvirostra avosetta,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,,,
Black-winged Stilt,Himantopus himantopus,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,,,,,,,,1,,,
Black-bellied Plover,Pluvialis squatarola,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
European Golden-Plover,Pluvialis apricaria,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
Pacific Golden-Plover,Pluvialis fulva,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,,,,,,,,1,,
Common Ringed Plover,Charadrius hiaticula,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,1,,
Long-billed Plover,Charadrius placidus,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,
Little Ringed Plover,Charadrius dubius,1,,,,1,,,,,,,,1,,,,,,,,,,1,,,1,1,1,1,,,,,1,,1,1,,
Kentish Plover,Charadrius alexandrinus,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,1,,,,
Lesser Sand-Plover,Charadrius mongolus,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,1,,,,,,,,,1,
Greater Sand-Plover,Charadrius leschenaultii,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
Caspian Plover,Charadrius asiaticus,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,
Oriental Plover,Charadrius veredus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Lapwing,Vanellus vanellus,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,
River Lapwing,Vanellus duvaucelii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Yellow-wattled Lapwing,Vanellus malabaricus,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray-headed Lapwing,Vanellus cinereus,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
Red-wattled Lapwing,Vanellus indicus,1,1,1,1,1,,1,,,,,,1,,,,,,,,,,1,,,1,,,,,,1,,,,,,,
Sociable Lapwing,Vanellus gregarius,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
White-tailed Lapwing,Vanellus leucurus,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,
Greater Painted-Snipe,Rostratula benghalensis,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Pheasant-tailed Jacana,Hydrophasianus chirurgus,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Bronze-winged Jacana,Metopidius indicus,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Whimbrel,Numenius phaeopus,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
Eurasian Curlew,Numenius arquata,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,1,,,
Bar-tailed Godwit,Limosa lapponica,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,
Black-tailed Godwit,Limosa limosa,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
Ruddy Turnstone,Arenaria interpres,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,
Great Knot,Calidris tenuirostris,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
Red Knot,Calidris canutus,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
Ruff,Calidris pugnax,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,
Broad-billed Sandpiper,Calidris falcinellus,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,
Sharp-tailed Sandpiper,Calidris acuminata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curlew Sandpiper,Calidris ferruginea,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,
Temminck's Stint,Calidris temminckii,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,
Long-toed Stint,Calidris subminuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
Spoon-billed Sandpiper,Calidris pygmea,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,
Red-necked Stint,Calidris ruficollis,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,
Sanderling,Calidris alba,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
Dunlin,Calidris alpina,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
Little Stint,Calidris minuta,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,1,1,,,
Buff-breasted Sandpiper,Calidris subruficollis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pectoral Sandpiper,Calidris melanotos,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Asian Dowitcher,Limnodromus semipalmatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,
Long-billed Dowitcher,Limnodromus scolopaceus,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
Eurasian Woodcock,Scolopax rusticola,,,1,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,
Solitary Snipe,Gallinago solitaria,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,
Wood Snipe,Gallinago nemoricola,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,
Pin-tailed Snipe,Gallinago stenura,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
Swinhoe's Snipe,Gallinago megala,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
Great Snipe,Gallinago media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Snipe,Gallinago gallinago,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
Jack Snipe,Lymnocryptes minimus,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
Terek Sandpiper,Xenus cinereus,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,
Common Sandpiper,Actitis hypoleucos,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,1,1,
Green Sandpiper,Tringa ochropus,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,1,,
Gray-tailed Tattler,Tringa brevipes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spotted Redshank,Tringa erythropus,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,1,1,,
Common Greenshank,Tringa nebularia,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,1,,,,,,,1,,,
Common Redshank,Tringa totanus,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,1,,,,,,,1,,1,
Wood Sandpiper,Tringa glareola,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,
Marsh Sandpiper,Tringa stagnatilis,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,1,,,
Red-necked Phalarope,Phalaropus lobatus,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Red Phalarope,Phalaropus fulicarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Buttonquail,Turnix sylvaticus,,1,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow-legged Buttonquail,Turnix tanki,,1,,,1,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Barred Buttonquail,Turnix suscitator,,1,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Crab-Plover,Dromas ardeola,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,
Jerdon's Courser,Rhinoptilus bitorquatus,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cream-colored Courser,Cursorius cursor,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
Indian Courser,Cursorius coromandelicus,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collared Pratincole,Glareola pratincola,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
Oriental Pratincole,Glareola maldivarum,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
Small Pratincole,Glareola lactea,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,1,,
Long-tailed Jaeger,Stercorarius longicaudus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Parasitic Jaeger,Stercorarius parasiticus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Pomarine Jaeger,Stercorarius pomarinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,
South Polar Skua,Stercorarius maccormicki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Brown Skua,Stercorarius antarcticus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Brown Noddy,Anous stolidus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Lesser Noddy,Anous tenuirostris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Black Noddy,Anous minutus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
White Tern,Gygis alba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Skimmer,Rynchops albicollis,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,
Black-legged Kittiwake,Rissa tridactyla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sabine's Gull,Xema sabini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slender-billed Gull,Chroicocephalus genei,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,1,,,
Brown-headed Gull,Chroicocephalus brunnicephalus,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,1,1,1,1,
Black-headed Gull,Chroicocephalus ridibundus,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,1,,
Little Gull,Hydrocoloeus minutus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin's Gull,Leucophaeus pipixcan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-eyed Gull,Ichthyaetus leucophthalmus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sooty Gull,Ichthyaetus hemprichii,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
Pallas's Gull,Ichthyaetus ichthyaetus,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,1,1,,
Mew Gull,Larus canus,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,
Lesser Black-backed Gull,Larus fuscus,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,1,,,
Caspian Gull,Larus cachinnans,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,
Herring Gull,Larus argentatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sooty Tern,Onychoprion fuscatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Bridled Tern,Onychoprion anaethetus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Little Tern,Sternula albifrons,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,1,1,,
Saunders's Tern,Sternula saundersi,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
Gull-billed Tern,Gelochelidon nilotica,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,
Caspian Tern,Hydroprogne caspia,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,1,1,,
Whiskered Tern,Chlidonias hybrida,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,1,,,,,,,1,1,,
White-winged Tern,Chlidonias leucopterus,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,1,,,
Black Tern,Chlidonias niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
River Tern,Sterna aurantia,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,1,1,,
Roseate Tern,Sterna dougallii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Black-naped Tern,Sterna sumatrana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Common Tern,Sterna hirundo,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,1,1,1,
White-cheeked Tern,Sterna repressa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,
Arctic Tern,Sterna paradisaea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-bellied Tern,Sterna acuticauda,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,
Lesser Crested Tern,Thalasseus bengalensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,1,,,
Sandwich Tern,Thalasseus sandvicensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,
Great Crested Tern,Thalasseus bergii,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,1,,,
Osprey,Pandion haliaetus,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,1
Black-winged Kite,Elanus caeruleus,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Oriental Honey-buzzard,Pernis ptilorhynchus,,,1,,,,,,,1,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,
Jerdon's Baza,Aviceda jerdoni,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Black Baza,Aviceda leuphotes,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Bearded Vulture,Gypaetus barbatus,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,1,,,,,,
Egyptian Vulture,Neophron percnopterus,,,,,1,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
Crested Serpent-Eagle,Spilornis cheela,,,,,,,,,,1,,,,1,,,1,1,1,,,,,,,,,,,,,,,1,,,,,
Nicobar Serpent-Eagle,Spilornis klossi,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Andaman Serpent-Eagle,Spilornis elgini,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Short-toed Snake-Eagle,Circaetus gallicus,,,,,1,1,,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-headed Vulture,Sarcogyps calvus,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himalayan Griffon,Gyps himalayensis,,,,,,,,,,1,,,,,,,1,,1,,1,,,,1,,,,,,,,1,,,,,,
White-rumped Vulture,Gyps bengalensis,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Indian Vulture,Gyps indicus,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slender-billed Vulture,Gyps tenuirostris,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eurasian Griffon,Gyps fulvus,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
Cinereous Vulture,Aegypius monachus,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Mountain Hawk-Eagle,Nisaetus nipalensis,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,
Legge's Hawk-Eagle,Nisaetus kelaarti,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,
Changeable Hawk-Eagle,Nisaetus limnaeetus,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Crested Hawk-Eagle,Nisaetus cirrhatus,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Rufous-bellied Eagle,Lophotriorchis kienerii,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Black Eagle,Ictinaetus malaiensis,,,,,,,,,,1,,,,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,
Indian Spotted Eagle,Clanga hastata,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Spotted Eagle,Clanga clanga,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,
Tawny Eagle,Aquila rapax,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steppe Eagle,Aquila nipalensis,,1,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,
Imperial Eagle,Aquila heliaca,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Golden Eagle,Aquila chrysaetos,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,
Bonelli's Eagle,Aquila fasciata,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
